Day,Month,Year,Area,WC,PN,Price,Floor,SoSach,district,Type
4,12,2023,40.0,2,2,2.4,2,Có,Thủ Đức,Bán Nhà riêng
4,12,2023,80.0,2,5,25.0,3,Có,Bình Tân,Bán Nhà riêng
4,12,2023,80.0,2,3,25.0,3,Có,Bình Tân,Bán Nhà riêng
4,12,2023,150.0,2,2,2.5,3,Có,Phú Nhuận,Bán Nhà
4,12,2023,65.0,5,6,6.6,1,Có,Quận 12,Bán Nhà riêng
4,12,2023,68.0,5,4,6.5,4,Có,Bình Tân,Bán Nhà riêng
4,12,2023,150.0,2,3,22.0,1,Có,Tân Bình,Bán Nhà riêng
4,12,2023,63.0,3,4,4.85,3,Có,Bình Tân,Bán Nhà riêng
4,12,2023,18.0,3,3,4.6,4,Có,Phú Nhuận,Bán Nhà riêng
4,12,2023,36.0,2,1,3.5,3,Có,Phú Nhuận,Bán Nhà riêng
4,12,2023,66.0,1,1,5.5,1,Có,Gò Vấp,Bán Nhà riêng
4,12,2023,61.0,2,3,4.0,4,Có,Tân Phú,Bán Nhà riêng
4,12,2023,61.0,2,4,4.0,4,Có,Tân Phú,Bán Nhà riêng
5,12,2023,100.0,2,3,5.5,2,Có,Tân Phú,Bán Nhà riêng
5,12,2023,100.0,2,3,5.5,2,Có,Tân Phú,Bán Nhà riêng
5,12,2023,45.0,3,3,5.8,2,Có,Bình Thạnh,Bán Nhà
5,12,2023,147.0,2,2,28.5,4,Có,Thủ Đức,Bán Nhà
5,12,2023,58.0,5,4,8.71,3,Có,Quận 10,Bán Nhà riêng
5,12,2023,65.0,4,3,5.9,3,Có,Tân Phú,Bán Nhà riêng
5,12,2023,44.0,3,2,5.48,3,Có,Quận 8,Bán Nhà riêng
5,12,2023,80.0,4,5,12.0,3,Có,Quận 8,Bán Nhà mặt phố
5,12,2023,37.0,2,4,4.68,4,Có,Gò Vấp,Bán Nhà riêng
5,12,2023,52.0,6,5,5.8,4,Có,Gò Vấp,Bán Nhà riêng
6,12,2023,22.0,2,2,3.65,3,Có,Phú Nhuận,Bán Nhà riêng
6,12,2023,26.0,3,2,3.0,3,Có,Bình Thạnh,Bán Nhà riêng
6,12,2023,72.0,5,6,6.18,4,Có,Bình Tân,Bán Nhà riêng
6,12,2023,101.0,2,2,10.9,1,Có,Gò Vấp,Bán Nhà riêng
6,12,2023,101.0,2,2,10.9,1,Có,Gò Vấp,Bán Nhà riêng
6,12,2023,95.0,6,5,14.8,4,Có,Thủ Đức,Bán Nhà
6,12,2023,50.0,5,5,5.3,4,Có,Bình Thạnh,Bán Nhà
6,12,2023,40.0,2,5,5.5,3,Có,Tân Bình,Bán Nhà mặt phố
6,12,2023,49.0,4,6,4.2,3,Có,Tân Phú,Bán Nhà riêng
6,12,2023,30.0,2,2,5.3,4,Có,Tân Bình,Bán Nhà riêng
6,12,2023,36.0,2,3,3.3,2,Có,Bình Tân,Bán Nhà riêng
6,12,2023,57.0,2,3,5.2,2,Có,Gò Vấp,Bán Nhà riêng
6,12,2023,30.0,2,3,5.3,4,Có,Tân Bình,Bán Nhà riêng
6,12,2023,30.0,2,3,5.3,4,Có,Tân Bình,Bán Nhà riêng
6,12,2023,40.0,3,2,4.8,3,Có,Tân Phú,Bán Nhà riêng
6,12,2023,65.0,4,3,5.9,2,Có,Quận 3,Bán Nhà riêng
6,12,2023,150.0,3,4,5.5,3,Có,Tân Bình,Bán Nhà mặt phố
6,12,2023,31.0,2,2,3.29,3,Có,Tân Phú,Bán Nhà riêng
6,12,2023,31.0,2,2,3.29,3,Có,Tân Phú,Bán Nhà riêng
7,12,2023,74.0,1,2,8.6,1,Có,Tân Phú,Bán Nhà riêng
1,12,2023,28.0,2,2,2.8,3,Có,Tân Bình,Bán Nhà mặt phố
8,5,2023,89.0,2,2,3.7,4,Có,Bình Tân,Bán Nhà riêng
8,11,2023,60.0,2,2,4.0,2,Có,Tân Phú,Bán Nhà mặt phố
8,11,2023,72.0,6,4,6.6,3,Có,Gò Vấp,Bán Nhà riêng
8,11,2023,72.0,6,4,6.6,3,Có,Gò Vấp,Bán Nhà riêng
8,11,2023,64.0,4,4,5.1,3,Có,Gò Vấp,Bán Nhà riêng
8,11,2023,55.0,2,2,4.15,3,Có,Bình Tân,Bán Nhà riêng
8,11,2023,178.0,4,3,7.0,2,Có,Thủ Đức,Bán Nhà riêng
8,11,2023,30.0,1,1,1.6,1,Có,Hóc Môn,Bán Nhà riêng
8,11,2023,110.0,3,3,4.8,2,Có,Quận 12,Bán Nhà riêng
8,11,2023,40.0,2,2,3.0,1,Có,Bình Tân,Bán Nhà riêng
8,11,2023,75.0,2,3,3.7,2,Có,Quận 9,Bán Nhà riêng
8,11,2023,46.0,2,4,5.0,4,Có,Tân Bình,Bán Nhà riêng
9,11,2023,80.0,2,4,12.0,3,Có,Bình Tân,Bán Nhà riêng
9,11,2023,22.0,4,3,4.6,4,Có,Phú Nhuận,Bán Nhà
9,11,2023,129.0,4,6,16.0,2,Có,Bình Tân,Bán Nhà riêng
9,11,2023,100.0,3,4,6.4,3,Có,Bình Tân,Bán Nhà riêng
9,11,2023,40.0,2,2,4.5,2,Có,Bình Thạnh,Bán Nhà riêng
9,11,2023,100.0,5,4,12.5,3,Có,Bình Tân,Bán Nhà riêng
9,11,2023,132.0,2,5,22.0,6,Có,Bình Tân,Bán Nhà riêng
9,11,2023,50.0,2,2,3.5,2,Có,Bình Tân,Bán Nhà riêng
9,11,2023,44.0,1,1,5.9,2,Có,Tân Bình,Bán Nhà riêng
9,11,2023,30.0,2,2,5.49,2,Có,Tân Bình,Bán Nhà mặt phố
9,11,2023,39.0,3,3,4.2,3,Có,Tân Bình,Bán Nhà riêng
9,11,2023,58.0,2,3,4.6,4,Có,Bình Tân,Bán Nhà riêng
9,11,2023,48.0,5,4,4.7,3,Có,Bình Tân,Bán Nhà riêng
9,11,2023,112.0,1,1,10.5,1,Có,Bình Tân,Bán Nhà riêng
9,11,2023,72.0,6,5,12.8,4,Có,Quận 8,Bán Nhà mặt phố
9,11,2023,72.0,6,5,12.8,4,Có,Quận 8,Bán Nhà mặt phố
9,11,2023,56.0,3,5,8.5,3,Có,Quận 10,Bán Nhà riêng
9,11,2023,54.0,2,3,4.5,3,Có,Bình Tân,Bán Nhà riêng
9,11,2023,65.0,5,4,6.8,3,Có,Thủ Đức,Bán Nhà riêng
9,11,2023,64.0,2,1,4.35,4,Có,Bình Tân,Bán Nhà riêng
9,11,2023,74.0,2,3,4.4,2,Có,Tân Bình,Bán Nhà riêng
9,11,2023,74.0,2,3,4.4,2,Có,Tân Bình,Bán Nhà riêng
9,11,2023,76.0,4,4,5.5,3,Có,Tân Phú,Bán Nhà riêng
9,11,2023,55.0,3,4,6.0,2,Có,Quận 9,Bán Nhà mặt phố
10,11,2023,60.0,5,4,11.5,3,Có,Bình Tân,Bán Nhà riêng
10,11,2023,84.0,3,4,9.6,3,Có,Bình Tân,Bán Nhà riêng
10,11,2023,36.0,2,3,4.79,3,Có,Tân Bình,Bán Nhà riêng
10,11,2023,60.0,3,2,3.9,2,Có,Bình Thạnh,Bán Nhà
10,11,2023,34.0,2,2,2.39,2,Có,Gò Vấp,Bán Nhà riêng
10,11,2023,100.0,2,3,2.6,2,Có,Quận 12,Bán Nhà riêng
10,11,2023,56.0,5,5,9.8,5,Có,Tân Bình,Bán Nhà riêng
10,11,2023,98.0,2,4,5.0,1,Có,Thủ Đức,Bán Nhà riêng
10,11,2023,40.0,3,3,5.5,4,Có,Tân Phú,Bán Nhà mặt phố
10,11,2023,46.0,3,4,4.5,3,Có,Thủ Đức,Bán Nhà riêng
10,11,2023,88.0,7,6,7.2,3,Có,Gò Vấp,Bán Nhà riêng
10,11,2023,56.0,4,4,6.5,3,Có,Gò Vấp,Bán Nhà riêng
10,11,2023,67.0,2,2,2.98,2,Có,Quận 12,Bán Nhà riêng
10,11,2023,59.0,4,5,6.3,5,Có,Tân Bình,Bán Nhà riêng
10,11,2023,59.0,4,5,6.3,5,Có,Tân Bình,Bán Nhà riêng
10,11,2023,96.0,1,3,4.6,1,Có,Quận 7,Bán Nhà riêng
10,11,2023,80.0,6,5,13.6,5,Có,Gò Vấp,Bán Nhà mặt phố
10,11,2023,70.0,2,3,4.7,2,Có,Bình Tân,Bán Nhà riêng
10,11,2023,51.0,3,4,5.0,2,Có,Tân Phú,Bán Nhà riêng
10,11,2023,46.0,3,3,5.2,3,Có,Bình Tân,Bán Nhà riêng
10,11,2023,80.0,5,6,11.0,5,Có,Tân Phú,Bán Nhà riêng
10,11,2023,36.0,3,4,3.78,3,Có,Phú Nhuận,Bán Nhà riêng
10,11,2023,61.0,1,2,3.0,1,Có,Thủ Đức,Bán Nhà riêng
10,11,2023,32.0,2,2,3.0,2,Có,Bình Tân,Bán Nhà riêng
10,11,2023,49.0,2,2,3.33,2,Có,Bình Tân,Bán Nhà riêng
10,11,2023,45.0,2,4,4.49,1,Có,Tân Bình,Bán Nhà riêng
10,11,2023,40.0,3,3,3.9,2,Có,Gò Vấp,Bán Nhà riêng
10,11,2023,76.0,3,4,3.8,1,Có,Gò Vấp,Bán Nhà riêng
11,11,2023,50.0,3,4,5.0,3,Có,Quận 9,Bán Nhà mặt phố
11,11,2023,90.0,1,2,4.8,1,Có,Quận 9,Bán Nhà mặt phố
11,11,2023,64.0,3,3,4.2,2,Có,Tân Phú,Bán Nhà riêng
11,11,2023,40.0,2,2,3.65,2,Có,Gò Vấp,Bán Nhà riêng
11,11,2023,44.0,3,3,3.7,3,Có,Gò Vấp,Bán Nhà riêng
11,11,2023,42.0,2,2,3.5,2,Có,Tân Bình,Bán Nhà riêng
