,Area,WC,PN,Price,Floor,HouseType,Location
272,44.0,2.0,2.0,3.2,2.0,5.5437090053763445,5.2687857142857135
274,40.0,2.0,2.0,4.75,2.0,7.485200839463087,6.308395494367961
275,62.0,2.0,3.0,5.6,2.0,7.485200839463087,5.583661764705883
276,100.0,2.0,5.0,3.8,2.0,5.5437090053763445,4.4555384615384614
277,42.0,3.0,3.0,5.3,2.0,5.5437090053763445,6.308395494367961
279,14.0,2.0,1.0,1.99,2.0,5.5437090053763445,7.197767857142857
280,100.0,2.0,5.0,3.8,2.0,5.5437090053763445,4.4555384615384614
281,35.0,3.0,3.0,4.5,4.0,5.5437090053763445,6.305351941747572
282,80.0,4.0,5.0,12.0,3.0,5.5437090053763445,5.2687857142857135
284,64.0,4.0,4.0,10.0,2.3333333333333335,5.5437090053763445,5.624838426204724
285,60.0,2.0,2.0,2.6,1.0,5.5437090053763445,5.583661764705883
286,60.0,4.0,4.0,10.5,4.0,5.5437090053763445,5.624838426204724
289,55.0,5.0,4.0,5.7,2.0,5.5437090053763445,6.861441441441442
291,96.0,2.0,2.0,7.6,3.0,7.485200839463087,5.2687857142857135
292,80.0,2.0,2.6666666666666665,7.8,4.0,7.485200839463087,5.2687857142857135
293,80.0,1.0,1.0,7.5,2.0,7.485200839463087,5.2687857142857135
294,70.0,2.0,2.0,7.9,3.0,7.485200839463087,5.2687857142857135
295,28.0,1.0,2.0,2.25,1.0,5.5437090053763445,5.4311051212938
296,55.0,3.0,3.0,5.5,2.6666666666666665,6.589457364341085,7.197767857142857
297,115.0,3.0,4.0,7.68,3.0,7.485200839463087,5.624838426204724
298,88.0,2.3333333333333335,3.6666666666666665,4.45,2.0,5.5437090053763445,5.2687857142857135
300,78.0,5.0,4.0,8.5,4.0,5.5437090053763445,5.831480472297911
301,65.0,2.0,3.0,6.0,2.0,7.485200839463087,5.583661764705883
302,60.0,3.0,4.0,3.4,1.3333333333333333,7.485200839463087,4.4488392857142856
303,84.0,2.0,3.0,3.55,1.0,7.485200839463087,6.42252427184466
304,43.0,3.0,4.0,6.68,2.3333333333333335,5.5437090053763445,5.831480472297911
305,60.0,5.0,4.0,8.6,4.0,5.5437090053763445,5.831480472297911
306,27.0,1.0,2.0,1.9,2.0,5.5437090053763445,6.305351941747572
307,42.0,6.0,5.0,5.7,4.0,6.589457364341085,6.308395494367961
308,64.0,3.0,3.0,10.3,4.0,5.5437090053763445,5.624838426204724
309,64.0,2.0,2.0,6.6,2.0,5.5437090053763445,5.2687857142857135
311,126.0,2.0,2.0,14.5,3.0,5.5437090053763445,5.2687857142857135
313,80.0,4.0,4.0,17.5,3.0,7.485200839463087,8.821571428571428
315,64.0,2.3333333333333335,3.0,10.3,4.0,5.5437090053763445,5.624838426204724
316,45.0,3.0,5.0,7.5,5.0,5.5437090053763445,5.831480472297911
318,65.0,3.0,4.0,4.8,2.0,5.5437090053763445,5.831480472297911
319,80.0,4.0,4.0,16.5,3.0,7.485200839463087,8.821571428571428
320,54.0,2.0,2.0,4.6,2.0,5.5437090053763445,5.624838426204724
321,80.0,2.0,2.0,10.0,1.0,7.485200839463087,6.305351941747572
322,80.0,2.0,2.0,10.0,2.0,7.485200839463087,6.305351941747572
323,100.0,2.0,4.0,16.0,4.0,5.5437090053763445,5.2687857142857135
325,80.0,6.0,5.0,11.0,4.0,6.589457364341085,7.197767857142857
326,44.0,2.0,2.0,3.7,2.0,5.5437090053763445,5.831480472297911
327,55.0,6.0,5.0,8.9,3.0,5.5437090053763445,6.308395494367961
328,60.0,3.0,4.0,4.9,3.0,5.5437090053763445,5.4311051212938
329,62.0,4.0,3.0,11.0,3.0,5.5437090053763445,7.197767857142857
331,90.0,5.0,5.0,8.0,1.0,5.5437090053763445,5.583661764705883
332,90.0,2.6666666666666665,3.0,6.8,3.0,7.485200839463087,5.583661764705883
334,70.0,2.0,3.0,4.0,2.0,5.5437090053763445,5.4311051212938
335,86.0,3.0,3.0,13.6,4.0,7.485200839463087,5.624838426204724
338,53.0,3.0,4.0,4.98,3.0,5.5437090053763445,6.114109589041096
339,31.0,2.0,2.0,3.1,2.0,5.5437090053763445,5.831480472297911
341,45.0,2.0,3.0,3.4,2.0,5.5437090053763445,5.583661764705883
343,55.0,3.0,3.0,4.9,3.0,5.5437090053763445,5.624838426204724
344,47.0,3.0,3.0,4.85,4.0,5.5437090053763445,5.173272727272726
345,102.0,2.0,3.0,3.6,2.0,5.5437090053763445,5.583661764705883
346,36.0,1.0,3.0,7.9,5.0,5.5437090053763445,6.305351941747572
347,95.0,2.0,3.0,4.9,2.0,5.5437090053763445,5.4311051212938
349,35.0,2.0,3.0,5.0,3.0,5.5437090053763445,6.305351941747572
350,66.0,3.0,4.0,5.1,3.0,5.5437090053763445,5.4311051212938
351,55.0,3.0,5.0,15.5,3.0,7.485200839463087,6.308395494367961
352,25.0,1.0,2.0,3.8,2.0,5.5437090053763445,7.340891402714932
353,63.0,4.333333333333333,4.333333333333333,6.25,1.0,5.5437090053763445,5.831480472297911
354,70.0,5.0,5.0,5.6,3.0,5.5437090053763445,5.583661764705883
355,44.0,2.0,3.0,3.6,3.0,5.5437090053763445,5.4311051212938
356,62.0,2.0,4.0,4.1,2.0,5.5437090053763445,5.583661764705883
357,50.0,2.0,3.0,3.7,2.0,5.5437090053763445,5.4311051212938
358,50.0,2.0,3.0,4.8,2.0,5.5437090053763445,5.831480472297911
